objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Concordia","124361","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197831","7.95905","8.11837","3.0352","17","29578","thing","Concordia","2","5","100","100","100","2013","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Concordia Venus","256916","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198251","7.03311","8.36182","3.16","350","3626","thing","Concordia Venus","2","6","120","120","60","2018","2,3,4,5,6","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition)","132028","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198588","6.76321","7.98372","3.2519","627","3548","thing","Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition)","2","4","180","180","60","2012","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Conflict of Heroes: Awakening the Bear! – Russia 1941-42","24800","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198505","6.80865","7.52248","3","562","3861","thing","Conflict of Heroes: Awakening the Bear! – Russia 1941-42","1","4","120","120","120","2008","1,2,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Container","26990","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198646","6.71998","7.14856","3.248","678","3022","thing","Container","3","5","90","90","60","2007","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Core Worlds","98351","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198647","6.71972","7.19074","2.8937","679","4872","thing","Core Worlds","2","5","120","120","60","2011","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter","39463","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197980","7.38057","7.54441","2.5714","138","32604","thing","Cosmic Encounter","3","5","120","120","60","2008","4,5","5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup","131357","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198411","6.88628","7.01304","1.4074","486","55964","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: The Quest for Planet Nine","284083","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197903","7.55868","8.05486","2.0171","80","15317","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cribbage","2398","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198572","6.77251","7.04822","1.904","614","11798","thing","Cribbage","2","4","30","30","30","1630","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Crokinole","521","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197890","7.59855","7.87023","1.26","67","9269","thing","Crokinole","2","4","30","30","30","1876","2,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Crusaders: Thy Will Be Done","170624","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198568","6.77729","7.61675","2.4194","610","3948","thing","Crusaders: Thy Will Be Done","2","4","60","60","40","2018","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cry Havoc","192457","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198470","6.83611","7.24202","3.2812","531","9067","thing","Cry Havoc","2","4","120","120","60","2016","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cryptid","246784","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198153","7.14198","7.54291","2.2619","269","8797","thing","Cryptid","3","5","50","50","30","2018","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu Wars","139976","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198110","7.19152","7.92357","3.125","234","5524","thing","Cthulhu Wars","2","4","120","120","90","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu: Death May Die","253344","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198201","7.09147","8.16137","2.36","307","5690","thing","Cthulhu: Death May Die","1","5","120","120","90","2019","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cuba","30380","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198450","6.85716","7.14499","3.2657","516","8157","thing","Cuba","2","5","120","120","75","2007","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cuba Libre","111799","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198453","6.85447","7.71268","3.5365","519","5037","thing","Cuba Libre","1","4","180","180","180","2013","1,2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cyclades","54998","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198031","7.31101","7.52096","2.8323","173","18809","thing","Cyclades","2","5","90","90","60","2009","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"D-Day at Omaha Beach","29603","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198536","6.7947","8.25052","3.4389","584","3410","thing","D-Day at Omaha Beach","1","2","480","480","480","2009","1,2","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dawn of the Zeds (Third edition)","175095","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198605","6.74492","8.25364","3.7215","644","3488","thing","Dawn of the Zeds (Third edition)","1","5","120","120","90","2016","1,2,3","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197944","7.45135","7.59805","3.0127","110","50979","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: The Long Night","193037","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198079","7.23771","7.67633","3.4307","209","16736","thing","Dead of Winter: The Long Night","2","5","120","120","60","2016","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deception: Murder in Hong Kong","156129","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198042","7.2932","7.50581","1.6022","181","21918","thing","Deception: Murder in Hong Kong","4","12","20","20","20","2014","5,6,7,8,9,10,11,12","6,7,8","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Decrypto","225694","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197937","7.45782","7.78739","1.8047","106","15708","thing","Decrypto","3","8","45","45","15","2018","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Deep Sea Adventure","169654","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198545","6.79074","7.02093","1.1793","592","15187","thing","Deep Sea Adventure","2","6","30","30","30","2014","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Defenders of the Realm","65532","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198431","6.87044","7.31133","2.7092","502","6638","thing","Defenders of the Realm","1","4","90","90","90","2010","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark","17226","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198258","7.02392","7.30174","3.3431","357","13523","thing","Descent: Journeys in the Dark","2","5","240","240","120","2005","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Descent: Journeys in the Dark (Second Edition)","104162","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197938","7.45765","7.70038","3.2032","107","34443","thing","Descent: Journeys in the Dark (Second Edition)","1","5","120","120","120","2012","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Detective: A Modern Crime Board Game","223321","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197981","7.37785","7.96983","2.6992","139","13521","thing","Detective: A Modern Crime Board Game","1","5","180","180","120","2018","2,3,4","","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deus","162082","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198275","7.00902","7.33322","2.8452","371","8472","thing","Deus","2","4","90","90","60","2014","2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Forge","194594","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198213","7.06937","7.29889","1.9642","317","20039","thing","Dice Forge","2","4","45","45","45","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season One","216734","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198442","6.86532","7.6923","2.0517","510","5647","thing","Dice Throne: Season One","2","6","40","40","20","2018","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Throne: Season Two – Battle Chest","244271","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198378","6.92299","8.21246","2.0909","458","3684","thing","Dice Throne: Season Two – Battle Chest","2","6","40","40","20","2018","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dinosaur Island","221194","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197965","7.41093","7.76188","3.0099","127","17265","thing","Dinosaur Island","1","4","120","120","90","2017","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Diplomacy","483","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198541","6.79282","7.04711","3.3535","589","19784","thing","Diplomacy","2","7","360","360","360","1959","6,7","7","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Discworld: Ankh-Morpork","91312","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198375","6.92455","7.2272","2.2085","456","10708","thing","Discworld: Ankh-Morpork","2","4","60","60","60","2011","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous","256382","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198607","6.74388","7.08653","2.4242","646","17156","thing","Disney Villainous","2","6","50","50","50","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit","39856","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198136","7.16062","7.26647","1.223","257","65600","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: Journey","121288","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198419","6.88288","7.42846","1.2636","492","7545","thing","Dixit: Journey","3","6","30","30","30","2012","4,5,6","5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: Odyssey","92828","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198074","7.24493","7.45847","1.1965","205","21593","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dogs of War","158435","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198638","6.72273","7.51493","2.6591","672","3528","thing","Dogs of War","3","5","75","75","75","2014","4,5","5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominant Species","62219","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197878","7.63901","7.84584","4.0404","57","18556","thing","Dominant Species","2","6","240","240","120","2010","3,4,5,6","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion","36218","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197917","7.51944","7.62622","2.3585","90","98004","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion (Second Edition)","209418","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198151","7.14656","7.95905","2.225","267","5775","thing","Dominion (Second Edition)","2","4","30","30","30","2016","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion: Intrigue","40834","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197899","7.57998","7.72615","2.4255","76","42334","thing","Dominion: Intrigue","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Downfall of Pompeii","13004","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198459","6.84482","7.13393","1.8459","523","7793","thing","The Downfall of Pompeii","2","4","45","45","45","2004","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Downforce","215311","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198254","7.02567","7.39437","1.7405","353","9077","thing","Downforce","2","6","40","40","20","2017","2,3,4,5,6","3,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragon Castle","232219","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198502","6.81293","7.23841","2","559","7504","thing","Dragon Castle","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Duke","36235","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198475","6.83342","7.41031","2.5122","536","6070","thing","The Duke","2","2","30","30","30","2013","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune","121","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198177","7.1126","7.61917","3.4434","287","6246","thing","Dune","2","6","180","180","60","1979","4,5,6","6","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune","283355","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198321","6.96625","8.22383","3.9147","409","6698","thing","Dune","2","6","120","120","120","2019","5,6","6","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Lords","45315","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198117","7.18118","7.39682","3.5547","239","14071","thing","Dungeon Lords","2","4","90","90","90","2009","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Petz","97207","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198064","7.25891","7.48445","3.5927","198","16044","thing","Dungeon Petz","2","4","90","90","90","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: The Legend of Drizzt Board Game","91872","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198556","6.7825","7.26004","2.6007","600","11324","thing","Dungeons & Dragons: The Legend of Drizzt Board Game","1","5","60","60","60","2011","1,2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Wrath of Ashardalon Board Game","66356","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198659","6.7099","7.15217","2.6276","689","11558","thing","Dungeons & Dragons: Wrath of Ashardalon Board Game","1","5","60","60","60","2011","1,2,3,4,5","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"DVONN","2346","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198372","6.92541","7.4446","2.6748","453","5803","thing","DVONN","2","2","30","30","30","2001","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Earth Reborn","73171","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198354","6.94142","7.67948","3.8926","437","6019","thing","Earth Reborn","2","4","180","180","180","2010","2,3,4","2","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse","72125","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197864","7.7225","7.90528","3.6979","44","26399","thing","Eclipse","2","6","180","180","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Egizia","58421","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198289","6.99742","7.43286","2.8333","383","4089","thing","Egizia","2","4","90","90","90","2009","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign","100423","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198476","6.83216","6.98714","2.35","537","34327","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Eldritch Horror","146021","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197893","7.5892","7.81992","3.3178","70","40973","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Elysium","163968","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198320","6.96695","7.24118","2.7537","408","11811","thing","Elysium","2","4","60","60","60","2015","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Eminent Domain","68425","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198469","6.838","7.06369","2.5048","530","12283","thing","Eminent Domain","2","4","45","45","45","2011","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Empires: Age of Discovery","173442","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198509","6.80729","7.8961","3.3506","566","2867","thing","Empires: Age of Discovery","2","6","150","150","50","2015","3,4,5,6","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Endeavor","33160","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198157","7.12862","7.40952","2.9063","273","7184","thing","Endeavor","3","5","90","90","90","2009","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Endeavor: Age of Sail","233398","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197946","7.44113","8.05208","2.8193","112","7888","thing","Endeavor: Age of Sail","2","5","90","90","60","2018","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Plan","142379","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198342","6.94955","7.67658","3.69","427","5796","thing","Escape Plan","1","5","120","120","60","2019","1,2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape: The Curse of the Temple","113294","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198467","6.84191","6.99823","1.4813","528","19047","thing","Escape: The Curse of the Temple","1","5","10","10","10","2012","1,2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Estates","249381","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198669","6.70575","7.51119","2.3714","698","3205","thing","The Estates","2","5","60","60","40","2018","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ethnos","206718","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198109","7.19275","7.49131","2.025","233","11251","thing","Ethnos","2","6","60","60","45","2017","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Euphoria: Build a Better Dystopia","133848","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198300","6.98783","7.2609","3.1034","391","11894","thing","Euphoria: Build a Better Dystopia","2","6","60","60","60","2013","2,3,4,5,6","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Everdell","199792","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197859","7.75632","8.0631","2.8095","40","22750","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution","155703","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198349","6.94513","7.15818","2.4302","432","17492","thing","Evolution","2","6","60","60","60","2014","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution: Climate","182134","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198137","7.15993","7.65755","2.7719","258","10287","thing","Evolution: Climate","2","6","60","60","60","2016","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ex Libris","201825","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198566","6.77794","7.22523","2.5612","609","7484","thing","Ex Libris","1","4","45","45","45","2017","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – Dead Man on the Orient Express","226522","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198390","6.91227","7.77619","2.6667","467","5362","thing","Exit: The Game – Dead Man on the Orient Express","1","4","90","90","45","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – The Abandoned Cabin","203420","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198081","7.23651","7.57467","2.5254","211","11786","thing","Exit: The Game – The Abandoned Cabin","1","6","120","120","60","2016","1,2,3,4","2,3","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – The Pharaoh's Tomb","203416","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198452","6.85546","7.2633","2.8596","518","9007","thing","Exit: The Game – The Pharaoh's Tomb","1","6","90","90","45","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – The Secret Lab","203417","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198547","6.78675","7.16111","2.6","594","9069","thing","Exit: The Game – The Secret Lab","1","6","150","150","45","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"A Fake Artist Goes to New York","135779","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198626","6.73205","7.17643","1.1558","660","7346","thing","A Fake Artist Goes to New York","5","10","20","20","20","2012","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fantasy Realms","223040","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198573","6.7713","7.35484","1.7397","615","4687","thing","Fantasy Realms","3","6","20","20","20","2017","2,3,4,5","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"A Feast for Odin","177736","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197837","7.90779","8.18281","3.8345","22","20171","thing","A Feast for Odin","1","4","120","120","30","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Feudum","163839","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198583","6.76599","7.68539","4.5718","623","4762","thing","Feudum","2","5","180","180","80","2017","2,3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Few Acres of Snow","79828","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198217","7.066","7.40077","3.0341","321","8810","thing","A Few Acres of Snow","2","2","120","120","60","2011","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fields of Arle","159675","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197876","7.64613","8.09071","3.8917","55","11588","thing","Fields of Arle","1","2","120","120","60","2014","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Finca","40628","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198571","6.77421","7.07508","2.0797","613","6338","thing","Finca","2","4","45","45","45","2009","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fire in the Lake","144189","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198335","6.9523","8.05624","4.0464","421","5238","thing","Fire in the Lake","1","4","180","180","180","2014","1,2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Firefly: The Game","138161","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198227","7.05855","7.39064","2.9555","328","18542","thing","Firefly: The Game","1","4","240","240","120","2013","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"First Class: All Aboard the Orient Express!","206941","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198292","6.99702","7.48567","2.7807","385","6175","thing","First Class: All Aboard the Orient Express!","2","4","80","80","40","2016","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Five Tribes","157354","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197880","7.6338","7.77869","2.8512","59","39359","thing","Five Tribes","2","4","80","80","40","2014","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flamme Rouge","199478","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198059","7.26586","7.56397","1.6641","193","13962","thing","Flamme Rouge","2","4","45","45","30","2016","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flash Point: Fire Rescue","100901","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198225","7.06136","7.21077","2.209","327","31579","thing","Flash Point: Fire Rescue","2","6","45","45","45","2011","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
