objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Outlive","191051","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198599","6.75432","7.40205","3","638","5608","thing","Outlive","2","4","110","110","40","2017","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Palaces of Carrara","129948","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198615","6.73736","7.20567","2.6157","652","4220","thing","The Palaces of Carrara","2","4","60","60","60","2012","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Paladins of the West Kingdom","266810","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197916","7.53041","8.09784","3.6231","89","11179","thing","Paladins of the West Kingdom","1","4","120","120","90","2019","1,2,3","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Panamax","131287","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198539","6.79336","7.33959","3.7689","587","4924","thing","Panamax","2","4","100","100","100","2014","3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic","30549","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197918","7.51759","7.61504","2.4148","91","145363","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 1","161936","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197806","8.46913","8.61948","2.8295","2","60930","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 2","221107","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197853","7.81849","8.17777","3.2623","34","22070","thing","Pandemic Legacy: Season 2","2","4","60","60","60","2017","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: Fall of Rome","260428","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198272","7.01234","7.74908","2.4429","368","6138","thing","Pandemic: Fall of Rome","1","5","60","60","45","2018","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: Iberia","198928","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197920","7.51253","7.94119","2.5746","92","14175","thing","Pandemic: Iberia","2","5","45","45","45","2016","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: Reign of Cthulhu","192153","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198256","7.0247","7.42203","2.1641","355","13210","thing","Pandemic: Reign of Cthulhu","2","4","40","40","40","2016","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: The Cure","150658","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198245","7.0389","7.30998","2.0512","344","14095","thing","Pandemic: The Cure","2","5","30","30","30","2014","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Paperback","141572","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198347","6.94563","7.20572","1.9827","431","13198","thing","Paperback","2","5","45","45","45","2014","2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"PARKS","266524","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198105","7.19966","7.89362","2.2014","230","8088","thing","PARKS","1","5","60","60","30","2019","1,2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork","163412","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197902","7.55871","7.66594","1.6499","79","62148","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","133038","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198319","6.96708","7.22549","2.7102","407","17926","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","1","4","90","90","90","2013","1,2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Paths of Glory","91","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197983","7.37252","8.05843","3.8339","141","8391","thing","Paths of Glory","2","2","480","480","480","1999","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pax Pamir (Second Edition)","256960","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198077","7.24088","8.35185","3.7062","207","3933","thing","Pax Pamir (Second Edition)","1","5","120","120","45","2019","1,2,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Pax Porfiriana","128780","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198377","6.92405","7.68695","3.5507","457","4942","thing","Pax Porfiriana","1","6","120","120","120","2012","2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pax Renaissance","198953","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198439","6.86559","8.0662","4.3636","507","3564","thing","Pax Renaissance","2","4","120","120","60","2016","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Perudo","45","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198623","6.73252","6.90849","1.2616","658","15532","thing","Perudo","2","6","30","30","15","1800","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Photosynthesis","218603","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198312","6.975","7.16011","2.2718","401","24708","thing","Photosynthesis","2","4","60","60","30","2017","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pictomania","98229","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198655","6.71187","7.29673","1.5238","685","4499","thing","Pictomania","3","6","25","25","25","2011","3,4,5,6","6","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"The Pillars of the Earth","24480","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198170","7.11895","7.29437","2.8229","281","19283","thing","The Pillars of the Earth","2","4","120","120","90","2006","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Pipeline","256730","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198415","6.88472","7.75652","3.8418","488","3894","thing","Pipeline","2","4","120","120","60","2019","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"PitchCar","150","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198279","7.00749","7.25421","1.1277","374","9850","thing","PitchCar","2","8","30","30","30","1995","2,3,4,5,6,7,8","6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Point Salad","274960","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198373","6.92538","7.36786","1.1607","454","9230","thing","Point Salad","2","6","30","30","15","2019","2,3,4,5,6","","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Polis: Fight for the Hegemony","69779","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198661","6.7085","7.66425","3.6569","691","3186","thing","Polis: Fight for the Hegemony","2","2","120","120","90","2012","2","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Port Royal","156009","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198367","6.9327","7.14114","1.6196","448","17999","thing","Port Royal","2","5","50","50","20","2014","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Potion Explosion","180974","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198353","6.94236","7.15972","1.7488","436","17961","thing","Potion Explosion","2","4","45","45","30","2015","2,3,4","","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Power Grid","2651","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197855","7.76783","7.86624","3.2731","36","64121","thing","Power Grid","2","6","120","120","120","2004","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Power Grid Deluxe: Europe/North America","155873","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198053","7.27069","8.02061","3.1967","190","6199","thing","Power Grid Deluxe: Europe/North America","2","6","120","120","120","2014","2,3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Prêt-à-Porter","87890","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198608","6.743","7.40936","3.6269","647","5881","thing","Prêt-à-Porter","2","4","90","90","90","2010","2,3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Princes of Florence","555","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198026","7.31851","7.5362","3.2505","169","15539","thing","The Princes of Florence","2","5","100","100","75","2000","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Puerto Rico","3076","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197842","7.88178","8.00507","3.2819","26","71304","thing","Puerto Rico","3","5","150","150","90","2002","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Pulsar 2849","228341","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198086","7.22918","7.74242","3.3136","215","7443","thing","Pulsar 2849","2","4","90","90","60","2017","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
